library_id,file_name
iniG1,GSM3764764_iniG1_raw_gene_bc_matrices_h5.h5
iniG2,GSM3764765_iniG2_raw_gene_bc_matrices_h5.h5
midG1,GSM3764766_midG1_raw_gene_bc_matrices_h5.h5
midG2,GSM3764767_midG2_raw_gene_bc_matrices_h5.h5
earN1,GSM3764768_earN1_raw_gene_bc_matrices_h5.h5
earN2,GSM3764769_earN2_raw_gene_bc_matrices_h5.h5
latN1,GSM3764770_latN1_raw_gene_bc_matrices_h5.h5
latN2,GSM3764771_latN2_raw_gene_bc_matrices_h5.h5
iniTI1,GSM3764772_iniTI1_raw_gene_bc_matrices_h5.h5
iniTI2,GSM3764773_iniTI2_raw_gene_bc_matrices_h5.h5
earTI1,GSM3764774_earTI1_raw_gene_bc_matrices_h5.h5
earTI2,GSM3764775_earTI2_raw_gene_bc_matrices_h5.h5
midTII1,GSM3764776_midTII1_raw_gene_bc_matrices_h5.h5
midTII2,GSM3764777_midTII2_raw_gene_bc_matrices_h5.h5
latTI1a,GSM3764778_latTI1a_raw_gene_bc_matrices_h5.h5
latTI1b,GSM3764779_latTI1b_raw_gene_bc_matrices_h5.h5
latTI2,GSM3764780_latTI2_raw_gene_bc_matrices_h5.h5
latTII1a,GSM3764781_latTII1a_raw_gene_bc_matrices_h5.h5
latTII1b,GSM3764782_latTII1b_raw_gene_bc_matrices_h5.h5
latTII2,GSM3764783_latTII2_raw_gene_bc_matrices_h5.h5
larva1,GSM3764784_larva1_raw_gene_bc_matrices_h5.h5
larva2,GSM3764785_larva2_raw_gene_bc_matrices_h5.h5
larva3,GSM3764786_larva3_raw_gene_bc_matrices_h5.h5
